rank,country,gold,silver,bronze,total
1,China,132,92,65,289
2,Japan,75,56,74,205
3,Republic of Korea,49,58,70,177
4,Indonesia,31,24,43,98
5,Uzbekistan,21,24,25,70
6,IR Iran,20,20,22,62
7,Chinese Taipei,17,19,31,67
8,India,15,24,30,69
9,Kazakhstan,15,17,44,76
10,DPR Korea,12,12,13,37
11,Bahrain,12,7,7,26
12,Thailand,11,16,46,73
13,Hong Kong China,8,18,20,46
14,Malaysia,7,13,16,36
15,Qatar,6,4,3,13
16,Mongolia,5,9,11,25
17,Vietnam,4,16,18,38
18,Singapore,4,4,14,22
19,Philippines,4,2,15,21
20,United Arab Emirates,3,6,5,14
21,Kuwait,3,1,2,6
22,Kyrgyzstan,2,6,12,20
23,Jordan,2,1,9,12
24,Cambodia,2,0,1,3
25,Kingdom of Saudi Arabia,1,2,3,6
26,Macau China,1,2,2,5
27,Iraq,1,2,0,3
28,Korea,1,1,2,4
28,Lebanon,1,1,2,4
30,Tajikistan,0,4,3,7
31,Lao PDR,0,2,3,5
32,Turkmenistan,0,1,2,3
33,Nepal,0,1,0,1
33,Oman,0,1,0,1
35,Pakistan,0,0,4,4
36,Afghanistan,0,0,2,2
37,Myanmar,0,0,2,2
38,Syria,0,0,1,1
39,Bangladesh,0,0,0,0
39,Bhutan,0,0,0,0
39,Brunei Darussalam,0,0,0,0
39,East Timor,0,0,0,0
39,Maldives,0,0,0,0
39,Palestine,0,0,0,0
39,Sri Lanka,0,0,0,0
39,Yemen,0,0,0,0
